SpotID,Day,Month,Date,Year,Hour,Minute,Second,Status
12,Friday,6,27,2025,10,47,15,1
12,Friday,6,27,2025,7,13,4,1
11,Friday,6,27,2025,10,11,15,1
4,Friday,6,27,2025,17,28,4,0
12,Friday,6,27,2025,11,20,19,1
8,Friday,6,27,2025,16,45,19,0
10,Friday,6,27,2025,17,15,4,0
7,Friday,6,27,2025,8,8,8,1
7,Friday,6,27,2025,16,22,19,0
6,Friday,6,27,2025,15,21,16,0
14,Friday,6,27,2025,18,42,10,0
1,Friday,6,27,2025,17,18,4,0
8,Friday,6,27,2025,19,33,13,0
8,Friday,6,27,2025,20,30,15,0
11,Friday,6,27,2025,15,31,16,1
9,Friday,6,27,2025,11,55,19,1
4,Friday,6,27,2025,14,59,11,0
4,Friday,6,27,2025,19,31,13,0
13,Friday,6,27,2025,11,20,19,1
3,Friday,6,27,2025,20,2,15,0
8,Friday,6,27,2025,13,26,8,0
7,Friday,6,27,2025,8,11,8,1
2,Friday,6,27,2025,19,27,13,0
1,Friday,6,27,2025,19,42,13,0
6,Friday,6,27,2025,13,50,8,0
3,Friday,6,27,2025,12,50,5,0
9,Friday,6,27,2025,16,42,19,1
10,Friday,6,27,2025,20,31,15,0
12,Friday,6,27,2025,13,15,8,1
12,Friday,6,27,2025,15,57,16,1
11,Friday,6,27,2025,20,15,15,0
2,Friday,6,27,2025,11,1,19,0
5,Friday,6,27,2025,10,4,15,0
7,Friday,6,27,2025,10,35,15,1
6,Friday,6,27,2025,14,39,11,0
7,Friday,6,27,2025,15,35,16,1
2,Friday,6,27,2025,14,41,11,0
10,Friday,6,27,2025,19,15,13,0
6,Friday,6,27,2025,10,57,15,0
9,Friday,6,27,2025,15,18,16,1
9,Friday,6,27,2025,19,10,13,0
4,Friday,6,27,2025,17,44,4,0
14,Friday,6,27,2025,16,31,19,1
13,Friday,6,27,2025,9,37,11,1
14,Friday,6,27,2025,9,16,11,1
13,Friday,6,27,2025,16,10,19,1
3,Friday,6,27,2025,9,12,11,0
7,Friday,6,27,2025,19,55,13,0
10,Friday,6,27,2025,10,57,15,1
12,Friday,6,27,2025,19,27,13,1
5,Friday,6,27,2025,11,46,19,0
3,Friday,6,27,2025,8,53,8,0
3,Friday,6,27,2025,9,39,11,0
12,Friday,6,27,2025,12,6,5,1
14,Friday,6,27,2025,15,14,16,1
4,Friday,6,27,2025,20,11,15,0
4,Friday,6,27,2025,12,23,5,1
3,Friday,6,27,2025,15,58,16,0
9,Friday,6,27,2025,20,58,15,0
11,Friday,6,27,2025,13,57,8,1
10,Friday,6,27,2025,13,11,8,1
14,Friday,6,27,2025,19,0,10,0
3,Friday,6,27,2025,14,15,11,0
3,Friday,6,27,2025,17,44,4,0
10,Friday,6,27,2025,10,27,15,1
12,Friday,6,27,2025,8,25,8,1
3,Friday,6,27,2025,20,59,15,0
12,Friday,6,27,2025,18,43,10,1
14,Friday,6,27,2025,16,48,19,1
1,Friday,6,27,2025,10,16,15,0
10,Friday,6,27,2025,18,11,10,0
14,Friday,6,27,2025,20,16,15,0
6,Friday,6,27,2025,12,31,5,0
13,Friday,6,27,2025,20,46,15,0
9,Friday,6,27,2025,18,12,10,1
11,Friday,6,27,2025,11,12,19,1
3,Friday,6,27,2025,20,8,15,0
8,Friday,6,27,2025,8,15,8,0
3,Friday,6,27,2025,19,33,13,0
8,Friday,6,27,2025,10,47,15,0
10,Friday,6,27,2025,15,26,16,1
12,Friday,6,27,2025,12,47,5,1
6,Friday,6,27,2025,11,51,19,0
7,Friday,6,27,2025,20,5,15,0
9,Friday,6,27,2025,18,44,10,0
