SpotID,Month,Day,Year,Hour,Minute,Second,Status
spot_11,6,Tuesday,2025,7,28,44,1
spot_12,6,Tuesday,2025,7,28,44,1
spot_13,6,Tuesday,2025,7,28,44,0
spot_14,6,Tuesday,2025,7,28,44,1
spot_1,6,Tuesday,2025,7,29,44,0
spot_2,6,Tuesday,2025,7,29,44,0
spot_3,6,Tuesday,2025,7,29,44,0
spot_4,6,Tuesday,2025,7,29,44,0
spot_5,6,Tuesday,2025,7,29,44,1
spot_6,6,Tuesday,2025,7,29,44,0
spot_7,6,Tuesday,2025,7,29,44,1
spot_8,6,Tuesday,2025,7,29,44,0
spot_9,6,Tuesday,2025,7,29,44,1
spot_10,6,Tuesday,2025,7,29,44,0
spot_11,6,Tuesday,2025,7,29,44,1
spot_12,6,Tuesday,2025,7,29,44,1
spot_13,6,Tuesday,2025,7,29,44,0
spot_14,6,Tuesday,2025,7,29,44,1
spot_1,6,Tuesday,2025,7,30,44,0
spot_2,6,Tuesday,2025,7,30,44,0
spot_3,6,Tuesday,2025,7,30,44,0
spot_4,6,Tuesday,2025,7,30,44,0
spot_5,6,Tuesday,2025,7,30,44,1
spot_6,6,Tuesday,2025,7,30,44,0
spot_7,6,Tuesday,2025,7,30,44,1
spot_8,6,Tuesday,2025,7,30,44,0
spot_9,6,Tuesday,2025,7,30,44,1
spot_10,6,Tuesday,2025,7,30,44,0
spot_11,6,Tuesday,2025,7,30,44,1
spot_12,6,Tuesday,2025,7,30,44,1
spot_13,6,Tuesday,2025,7,30,44,0
spot_14,6,Tuesday,2025,7,30,44,1
spot_1,6,Tuesday,2025,7,31,44,0
spot_2,6,Tuesday,2025,7,31,44,0
spot_3,6,Tuesday,2025,7,31,44,0
spot_4,6,Tuesday,2025,7,31,44,0
spot_5,6,Tuesday,2025,7,31,44,1
spot_6,6,Tuesday,2025,7,31,44,0
spot_7,6,Tuesday,2025,7,31,44,1
spot_8,6,Tuesday,2025,7,31,44,0
spot_9,6,Tuesday,2025,7,31,44,1
spot_10,6,Tuesday,2025,7,31,44,1
spot_11,6,Tuesday,2025,7,31,44,1
spot_12,6,Tuesday,2025,7,31,44,1
spot_13,6,Tuesday,2025,7,31,44,0
spot_14,6,Tuesday,2025,7,31,44,1
spot_1,6,Tuesday,2025,7,32,44,0
spot_2,6,Tuesday,2025,7,32,44,0
spot_3,6,Tuesday,2025,7,32,44,0
spot_4,6,Tuesday,2025,7,32,44,0
spot_5,6,Tuesday,2025,7,32,44,1
spot_6,6,Tuesday,2025,7,32,44,0
spot_7,6,Tuesday,2025,7,32,44,1
spot_8,6,Tuesday,2025,7,32,44,0
spot_9,6,Tuesday,2025,7,32,44,1
spot_10,6,Tuesday,2025,7,32,44,1
spot_11,6,Tuesday,2025,7,32,44,1
spot_12,6,Tuesday,2025,7,32,44,1
spot_13,6,Tuesday,2025,7,32,44,0
spot_14,6,Tuesday,2025,7,32,44,1
spot_1,6,Tuesday,2025,7,33,44,0
spot_2,6,Tuesday,2025,7,33,44,0
spot_3,6,Tuesday,2025,7,33,44,0
spot_4,6,Tuesday,2025,7,33,44,0
spot_5,6,Tuesday,2025,7,33,44,1
spot_6,6,Tuesday,2025,7,33,44,0
spot_7,6,Tuesday,2025,7,33,44,1
spot_8,6,Tuesday,2025,7,33,44,0
spot_9,6,Tuesday,2025,7,33,44,1
spot_10,6,Tuesday,2025,7,33,44,1
spot_11,6,Tuesday,2025,7,33,44,1
spot_12,6,Tuesday,2025,7,33,44,1
spot_13,6,Tuesday,2025,7,33,44,0
spot_14,6,Tuesday,2025,7,33,44,1
spot_1,6,Tuesday,2025,7,34,44,0
spot_2,6,Tuesday,2025,7,34,44,0
spot_3,6,Tuesday,2025,7,34,44,0
spot_4,6,Tuesday,2025,7,34,44,0
spot_5,6,Tuesday,2025,7,34,44,1
spot_6,6,Tuesday,2025,7,34,44,0
spot_7,6,Tuesday,2025,7,34,44,1
spot_8,6,Tuesday,2025,7,34,44,0
spot_9,6,Tuesday,2025,7,34,44,1
spot_10,6,Tuesday,2025,7,34,44,1
spot_11,6,Tuesday,2025,7,34,44,1
spot_12,6,Tuesday,2025,7,34,44,1
spot_13,6,Tuesday,2025,7,34,44,0
spot_14,6,Tuesday,2025,7,34,44,1
spot_1,6,Tuesday,2025,7,35,44,0
spot_2,6,Tuesday,2025,7,35,44,0
spot_3,6,Tuesday,2025,7,35,44,0
spot_4,6,Tuesday,2025,7,35,44,0
spot_5,6,Tuesday,2025,7,35,44,1
spot_6,6,Tuesday,2025,7,35,44,0
spot_7,6,Tuesday,2025,7,35,44,1
spot_8,6,Tuesday,2025,7,35,44,0
spot_9,6,Tuesday,2025,7,35,44,1
spot_10,6,Tuesday,2025,7,35,44,1
spot_11,6,Tuesday,2025,7,35,44,1
spot_12,6,Tuesday,2025,7,35,44,1
spot_13,6,Tuesday,2025,7,35,44,0
spot_14,6,Tuesday,2025,7,35,44,1
spot_1,6,Tuesday,2025,7,36,44,0
spot_2,6,Tuesday,2025,7,36,44,0
spot_3,6,Tuesday,2025,7,36,44,0
spot_4,6,Tuesday,2025,7,36,44,0
spot_5,6,Tuesday,2025,7,36,44,1
spot_6,6,Tuesday,2025,7,36,44,0
spot_7,6,Tuesday,2025,7,36,44,1
spot_8,6,Tuesday,2025,7,36,44,0
spot_9,6,Tuesday,2025,7,36,44,1
spot_10,6,Tuesday,2025,7,36,44,1
spot_11,6,Tuesday,2025,7,36,44,1
spot_12,6,Tuesday,2025,7,36,44,1
spot_13,6,Tuesday,2025,7,36,44,0
spot_14,6,Tuesday,2025,7,36,44,1
spot_1,6,Tuesday,2025,7,37,44,0
spot_2,6,Tuesday,2025,7,37,44,0
spot_3,6,Tuesday,2025,7,37,44,0
spot_4,6,Tuesday,2025,7,37,44,0
spot_5,6,Tuesday,2025,7,37,44,1
spot_6,6,Tuesday,2025,7,37,44,0
spot_7,6,Tuesday,2025,7,37,44,1
spot_8,6,Tuesday,2025,7,37,44,0
spot_9,6,Tuesday,2025,7,37,44,1
spot_10,6,Tuesday,2025,7,37,44,1
spot_11,6,Tuesday,2025,7,37,44,1
spot_12,6,Tuesday,2025,7,37,44,1
spot_13,6,Tuesday,2025,7,37,44,0
spot_14,6,Tuesday,2025,7,37,44,1
spot_1,6,Tuesday,2025,7,38,44,0
spot_2,6,Tuesday,2025,7,38,44,0
spot_3,6,Tuesday,2025,7,38,44,0
spot_4,6,Tuesday,2025,7,38,44,0
spot_5,6,Tuesday,2025,7,38,44,1
spot_6,6,Tuesday,2025,7,38,44,0
spot_7,6,Tuesday,2025,7,38,44,1
spot_8,6,Tuesday,2025,7,38,44,0
